Geneid	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RNA_3	Fmr1_RNA_4	control_RNA_3_x	Fmr1_RPF_2	control_RNA_2	control_RNA_3_y	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1		
Tpd52l2	268	1166	211	303	943	975	757	275	1020	757	935	1022	317	256		
Arhgap25	48	159	55	52	153	182	127	45	156	127	167	193	53	49		
Banf1	268	305	165	276	161	212	195	236	163	195	229	174	245	223		
Tbc1d23	157	1063	162	181	853	888	804	174	1028	804	954	959	176	135		
Pard3	87	494	94	125	360	409	400	89	454	400	440	411	140	79		
Rorc	0	21	0	1	10	19	12	0	14	12	15	15	3	0		
Krtap4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Evi5l	298	2244	292	428	1719	1935	1644	333	1964	1644	1956	1903	438	272		
Pex5l	881	5937	741	1059	4663	5089	4715	943	5241	4715	5304	5050	1147	829		
Mtmr1	156	1503	156	209	1180	1212	1170	209	1372	1170	1216	1221	196	165		
Mtor	708	3219	850	1126	2753	2950	2608	848	2977	2608	2900	3124	1101	707		
Zfp758	10	293	10	8	261	304	304	18	361	304	286	304	8	16		
Plekhh2	15	188	17	20	142	161	127	19	142	127	162	145	23	15		
Adgrl3	804	6484	837	1065	5702	6147	5451	813	6547	5451	5701	6371	1195	810		
Golga5	168	754	168	198	630	729	591	169	699	591	643	684	215	168		
Plekhb1	499	2639	421	591	2008	2714	1957	530	1773	1957	2413	1949	616	389		
Nufip1	92	370	91	130	315	317	260	81	343	260	311	340	159	96		
Smap1	969	1075	950	1254	838	982	950	1088	926	950	926	857	1303	915		
Tepp	0	1	0	0	0	0	0	1	0	0	0	1	0	0		
Acox2	1	1	1	0	2	3	4	1	6	4	4	3	1	0		
Hars2	99	405	84	120	343	302	317	102	395	317	377	428	119	100		
Gpa33	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Sdhb	977	2306	873	1168	1821	1996	1781	997	1928	1781	1979	1896	1159	945		
Gmpr	362	732	350	468	523	616	508	341	640	508	681	678	493	335		
Krt90	0	1	1	3	0	0	1	2	3	1	1	3	3	2		
Me1	80	852	76	104	622	584	757	97	633	757	778	696	107	85		
Klk11	0	0	0	0	1	1	1	0	0	1	0	0	1	0		
Magt1	85	709	76	93	578	627	525	81	657	525	587	649	112	90		
Mcam	214	522	262	387	473	552	417	282	453	417	503	512	348	234		
Pbld1	0	2	0	0	0	3	4	0	2	4	0	0	0	0		
Tab2	58	1593	60	89	1230	1445	1125	67	1417	1125	1377	1370	100	49		
Mettl27	10	210	8	18	133	194	124	16	122	124	183	151	12	13		
Trmt1	104	605	90	120	446	489	375	111	451	375	508	424	132	87		
Vps37c	67	508	62	91	374	429	335	80	416	335	424	392	84	69		
Sec23a	802	3997	886	1104	3555	3797	3107	927	4079	3107	3278	4014	1196	747		
Rara	38	195	26	27	99	161	103	27	108	103	152	110	27	27		
Med1	186	1717	231	276	1269	1312	1335	232	1422	1335	1492	1472	313	213		
Ap5b1	29	98	36	53	72	75	90	36	75	90	73	75	43	45		
Bag5	241	1015	222	349	890	958	813	250	1065	813	901	1032	330	254		
Pdcd2l	91	269	86	101	197	240	162	108	233	162	175	227	97	94		
Ctcf	302	1276	364	431	959	1071	1114	347	1113	1114	1136	1082	432	273		
Mnd1	4	10	1	1	5	9	9	4	13	9	6	11	0	1		
Tktl1	1	4	0	0	1	1	1	0	0	1	3	1	1	0		
Lix1	65	1221	58	75	1291	1383	1037	70	1100	1037	1005	1113	74	65		
Ctnnbl1	222	485	189	278	427	537	400	221	521	400	461	591	322	235		
Snph	471	5990	445	576	4089	5350	4334	461	4010	4334	5556	4262	600	367		
Raet1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ppm1m	19	246	29	32	224	232	218	27	238	218	222	241	30	20		
Prkar1a	3605	12572	3918	5181	10425	10545	10875	3957	12372	10875	10993	12065	5172	3426		
Slc27a3	12	54	26	30	46	65	44	24	53	44	44	68	34	18		
Impdh2	17	615	15	8	456	460	437	18	465	437	513	479	8	17		
Tiprl	241	1028	229	294	765	767	779	264	844	779	798	822	273	226		
Uaca	28	238	38	53	153	137	141	24	209	141	236	207	70	38		
Smim31	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
Calca	2	22	4	2	17	10	10	3	33	10	16	30	9	2		
Phf3	403	2655	493	674	2107	2316	2016	429	2554	2016	2299	2347	706	409		
Ube2q2	23	1244	29	27	941	890	1108	26	1192	1108	1099	1035	35	21		
Rfx3	259	2707	241	310	2501	2530	2627	246	2948	2627	2302	2783	374	255		
Bri3	63	155	75	79	104	108	114	83	75	114	175	90	100	58		
Fbxo27	22	130	23	17	99	107	117	21	104	117	126	105	19	19		
Eps15l1	354	946	364	468	838	837	662	331	771	662	825	858	499	307		
Tmprss15	1	6	0	0	8	4	9	0	3	9	3	2	0	0		
Max	119	789	117	120	674	704	570	140	600	570	683	669	129	99		
Ttc8	76	412	42	71	292	337	259	84	330	259	337	308	73	90		
Vti1b	307	2787	303	384	2515	2993	2340	330	2914	2340	2377	2843	372	311		
Cpsf3	302	903	325	404	678	790	684	338	748	684	818	767	384	319		
Nlgn1	284	5096	336	457	4399	4469	4171	337	5050	4171	4468	4784	437	338		
Casq2	10	66	22	14	35	45	32	17	51	32	60	68	20	22		
Pidd1	0	14	2	3	10	9	17	1	6	17	18	14	2	0		
Asb4	6	21	16	11	32	23	18	9	40	18	21	58	17	7		
Orc4	204	1110	156	184	865	848	940	214	1067	940	993	983	198	194		
Mapkbp1	151	1618	165	232	1360	1351	1165	164	1341	1165	1418	1495	293	140		
Mospd1	29	321	15	15	282	264	295	12	314	295	293	293	18	17		
Banf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dclk1	6032	33656	5987	7763	24676	26838	26699	6571	28271	26699	29690	28135	7874	5681		
Gpcpd1	645	3950	533	616	2654	2430	3270	700	3232	3270	3498	2914	669	630		
Sinhcaf	0	6	0	0	8	6	3	0	3	3	7	5	0	0		
Acbd5	176	2747	210	232	2057	1901	2341	204	2393	2341	2224	2210	267	189		
Myo7a	77	549	74	100	398	460	374	89	428	374	471	450	102	72		
Luc7l2	251	3386	197	225	2577	2171	2610	254	3255	2610	3058	3041	279	205		
Dnah8	9	52	8	19	33	28	23	8	35	23	44	41	18	9		
Evc	18	127	10	9	99	124	96	3	128	96	96	108	16	5		
Shroom2	505	4009	406	611	3254	3242	3102	569	3525	3102	3459	3460	572	450		
Kmt2e	251	2856	295	371	1986	1955	1960	288	2389	1960	2401	2273	391	255		
Setd5	168	3244	184	222	2242	2598	2301	186	2651	2301	2923	2719	243	205		
Pcyox1	536	3138	506	686	2514	2754	2655	621	2554	2655	2701	2636	648	540		
Arpp21	1138	16716	1237	1527	14456	16034	12766	1181	15357	12766	15121	15077	1640	1142		
Iyd	1	7	1	2	5	9	3	2	9	3	3	6	1	1		
Smim4	63	90	65	64	114	98	65	63	92	65	89	105	98	65		
Smc6	187	1429	165	235	1065	1046	1132	208	1369	1132	1183	1301	265	167		
Nsmf	260	10196	252	292	7049	9209	6934	288	6276	6934	9098	6645	329	211		
Hmbs	35	279	28	42	177	245	138	44	176	138	218	188	41	35		
Slc35b1	182	929	186	231	785	948	683	197	825	683	826	819	248	209		
Synj2	218	2255	194	268	1659	2048	1653	231	1758	1653	2181	1815	258	222		
Suds3	225	1868	197	307	1602	1876	1351	223	1733	1351	1601	1659	286	205		
Ptk2b	1866	6467	1787	2363	4979	6127	5452	2004	4874	5452	5924	5432	2529	1832		
Gfm2	92	517	76	109	353	378	302	87	415	302	448	445	116	86		
Rlim	388	3329	342	479	2675	2551	3072	458	3139	3072	2877	2730	509	392		
Ddt	156	332	87	152	292	289	293	178	259	293	267	213	138	171		
Epha3	28	397	41	65	472	442	376	42	503	376	336	508	89	39		
Gatad2a	86	657	76	117	498	644	487	83	491	487	550	526	115	66		
Shc1	6	171	11	12	133	123	140	10	139	140	164	143	21	11		
Anks1b	1140	8908	1029	1439	7564	8476	7111	1302	8135	7111	7937	7824	1438	1152		
Cdk6	5	230	5	8	166	153	139	11	174	139	205	183	7	8		
Cdk5r2	1049	3302	744	977	2176	2222	2756	1020	2334	2756	2971	2262	1000	951		
Cdk5r1	1041	9570	835	1128	7309	7922	7535	1117	7724	7535	8445	7810	1164	910		
Kdm1a	532	2079	533	697	1609	1708	1541	519	1982	1541	1859	1926	763	521		
Olfr192	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Scaf4	158	348	228	287	219	243	267	178	279	267	290	315	314	149		
Plcxd2	197	6130	167	229	4160	4389	4730	206	4863	4730	5047	4739	228	183		
Morc2a	220	1093	212	263	843	911	916	247	1043	916	999	1012	309	191		
Atp6v1c2	6	30	9	12	33	37	23	7	43	23	29	41	8	3		
C5ar1	4	3	6	5	8	5	6	11	5	6	12	3	11	7		
Map1a	7548	33675	11058	14708	28573	31343	28628	8181	30471	28628	30839	32581	15316	7158		
Gja5	2	24	1	2	24	12	10	6	19	10	23	19	9	3		
Runx2	9	128	14	20	93	100	64	20	84	64	99	84	13	6		
Gja3	1	2	1	2	4	9	1	0	3	1	2	3	3	0		
Ackr3	84	153	60	85	106	112	102	73	135	102	189	132	74	58		
Socs1	3	18	1	1	10	14	14	3	12	14	14	12	2	2		
Sort1	1907	13566	1761	2403	11231	12113	11257	2117	11433	11257	12226	11829	2428	1862		
Rangrf	3	89	3	7	95	93	53	2	96	53	72	102	2	1		
Phyhd1	23	154	12	29	125	142	86	23	114	86	161	120	27	27		
Slc4a9	0	0	2	0	1	2	4	0	4	4	1	0	3	0		
Specc1	289	1950	352	458	1591	1711	1329	304	1792	1329	1697	1905	443	277		
Gtf2a2	76	533	79	75	501	532	408	85	574	408	466	554	97	76		
Deaf1	59	1235	72	88	904	1076	936	75	920	936	1206	930	101	69		
Mtarc1	0	5	0	0	3	1	0	0	3	0	2	3	0	1		
Set	49	2644	37	44	2487	2789	2352	54	2786	2352	2376	2649	47	38		
Glra3	78	708	90	124	764	680	682	71	944	682	599	865	122	82		
Dnhd1	2	122	2	0	75	67	60	2	109	60	106	125	4	5		
Tmem247	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Pgpep1l	0	3	0	2	9	2	4	0	6	4	12	12	0	1		
Notch3	68	433	78	101	273	253	222	74	366	222	386	398	112	68		
Gtsf1l	0	0	1	0	0	2	2	0	1	2	2	1	0	0		
Chml	20	876	36	44	631	632	632	37	822	632	756	735	37	39		
Rnf212	0	2	0	1	0	0	0	0	0	0	0	0	0	0		
Tceal8	251	851	237	323	784	790	782	254	903	782	788	718	360	239		
Olfr935	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gng10	60	1069	72	87	1072	1044	977	74	1116	977	960	1005	78	65		
Mrps18b	88	169	72	103	141	209	111	97	128	111	165	141	110	73		
D16Ertd472e	24	315	31	27	327	306	290	31	339	290	313	299	45	33		
2310039H08Rik	12	55	7	14	56	71	47	11	60	47	61	66	15	10		
Rps10	29	787	35	39	639	575	505	34	710	505	674	836	33	26		
Arih1	444	3641	434	598	2861	3070	2913	491	3248	2913	3036	3176	624	455		
Itgal	5	21	3	11	26	23	24	4	20	24	14	25	4	5		
Sirt6	59	87	44	76	70	53	66	46	50	66	77	61	70	54		
Rgs12	88	932	141	182	970	1100	765	134	1024	765	793	1057	176	103		
Gm10681	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Hfe	13	107	9	11	73	80	63	14	63	63	81	69	7	11		
Tdrd7	179	937	168	279	723	700	638	194	798	638	790	858	249	196		
Ak2	82	356	80	126	267	286	213	79	288	213	301	369	111	85		
Znhit1	271	403	161	287	329	483	305	262	334	305	404	411	274	226		
Prx	1	47	1	3	27	33	20	0	30	20	42	33	1	0		
Zxdb	1	530	0	1	452	361	466	0	567	466	408	470	1	1		
Alas2	21	239	21	31	718	534	456	31	324	456	222	324	35	28		
Fiz1	82	377	65	106	287	376	249	79	309	249	370	297	84	62		
Doxl1	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
Serpinh1	219	750	188	280	569	622	394	234	642	394	692	753	259	187		
Vmn2r65	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Myh3	24	100	18	31	95	76	82	32	87	82	97	68	26	27		
Grm5	949	10320	913	1322	8959	9418	9216	962	10576	9216	8647	9725	1341	881		
Apol7e	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vill	9	45	17	14	62	61	31	13	73	31	51	64	21	12		
Ins2	0	0	0	0	2	0	1	0	2	1	0	0	0	0		
Wnk1	469	6421	628	778	5233	5716	4954	431	5400	4954	5678	5532	761	408		
Tex14	4	13	1	0	7	7	7	1	7	7	7	11	2	0		
Eya1	32	324	25	54	247	268	213	36	222	213	293	230	37	34		
Adgrg2	12	30	7	20	32	29	32	16	31	32	19	41	13	4		
Nkain3	25	343	35	54	302	375	311	32	359	311	299	366	56	38		
Cd2bp2	212	1285	250	307	1160	1307	1165	292	1215	1165	1272	1309	365	231		
Sapcd2	8	31	3	10	23	31	20	8	24	20	33	29	9	3		
Kcng2	20	74	23	18	55	65	62	9	86	62	61	59	9	14		
Tecr	1692	4708	1602	2112	4405	5491	3414	1796	4178	3414	4237	4655	2091	1615		
Asmt	1	0	2	2	0	0	0	0	0	0	0	0	0	0		
Tfg	530	1223	450	559	847	919	846	552	1012	846	1064	970	548	509		
Trpm3	183	1663	211	281	1799	2076	1692	169	1925	1692	1470	1975	288	161		
Mtarc2	352	927	397	501	754	853	721	387	781	721	770	858	561	320		
Itih5	216	1092	231	308	847	885	839	241	995	839	953	1036	314	216		
Adcy4	7	62	19	18	33	23	29	17	49	29	64	46	31	20		
Mical1	42	142	44	81	130	138	83	44	155	83	140	144	57	34		
Zc3hav1l	7	179	6	12	133	115	92	7	133	92	160	159	11	8		
Lrch4	36	0	28	49	0	0	0	25	0	0	0	0	40	29		
Gbp5	18	31	18	17	23	22	29	25	38	29	41	35	19	8		
Wnk2	424	2353	540	744	1645	1820	1721	528	1726	1721	2212	1710	743	430		
Sec22a	87	396	78	92	375	341	303	80	373	303	348	367	117	74		
Ahsa2	84	255	90	111	185	223	196	85	274	196	233	244	105	87		
Tfeb	33	128	60	50	119	119	91	57	133	91	96	125	64	40		
Tgm1	1	2	1	2	0	2	1	1	2	1	0	1	2	1		
Dynlt1f	0	0	0	0	3	0	1	0	0	1	2	0	0	0		
D7Ertd443e	14	96	18	23	89	94	63	17	62	63	91	75	12	11		
Tlcd2	0	7	2	2	11	10	7	4	12	7	7	11	1	1		
Lrch2	169	767	203	219	662	544	815	212	861	815	628	758	251	177		
Zdhhc6	23	664	16	30	481	583	454	24	536	454	564	493	22	20		
Cbx3	70	382	68	75	360	321	378	74	418	378	297	373	94	80		
Fndc4	74	1319	90	106	1077	1316	1009	79	1038	1009	1145	1029	108	79		
Slc25a28	36	317	47	59	219	311	229	31	263	229	300	286	47	46		
Gbp4	2	33	0	0	22	19	13	3	27	13	35	27	1	2		
Cdkl3	13	220	9	16	194	232	145	14	218	145	185	221	20	18		
Etfrf1	38	487	31	43	439	427	418	58	397	418	383	425	49	47		
Atn1	413	983	456	706	555	624	706	442	606	706	852	661	676	379		
Zfp111	27	329	40	38	246	299	243	41	300	243	308	317	36	35		
Sema3b	19	46	17	13	58	54	40	6	64	40	44	82	18	11		
Rbm43	62	338	60	58	300	345	253	56	319	253	317	359	86	56		
S100a3	2	6	0	0	5	12	3	0	5	3	4	6	3	0		
Kif18b	4	13	7	10	10	17	8	4	12	8	16	19	8	8		
Hsh2d	0	0	0	0	0	0	1	0	0	1	0	1	0	0		
Sgsm2	131	1628	124	179	1280	1586	1277	121	1322	1277	1456	1427	171	95		
Sem1	335	940	411	550	964	904	726	436	1229	726	816	1101	590	353		
Shd	38	348	34	65	291	292	257	52	233	257	286	254	45	28		
Lcp1	45	290	61	61	176	219	189	61	229	189	250	225	61	52		
H2-Q7	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gjb5	0	2	0	0	1	1	0	0	2	0	0	0	0	0		
Rnps1	85	697	60	87	773	929	565	74	769	565	635	777	91	64		
Gpr83	211	871	192	260	685	827	698	223	784	698	772	757	244	202		
Cyp2d9	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Rab23	86	559	68	79	390	423	481	97	435	481	509	429	96	84		
Ext2	227	575	259	302	474	516	431	243	439	431	485	498	310	202		
Scin	3	7	3	2	3	2	4	3	2	4	1	3	1	4		
Clec11a	12	67	9	7	86	82	59	11	80	59	79	58	13	7		
Scg2	2584	4771	2765	3632	4488	5463	3863	2650	4848	3863	4302	5122	3707	2406		
Map7d2	906	3331	1010	1310	2715	2944	2750	973	3383	2750	2971	3213	1453	816		
Tectb	0	11	0	0	11	14	4	0	9	4	10	14	0	0		
Spata3	0	10	0	1	5	5	3	0	6	3	5	11	1	0		
Ola1	684	2350	589	729	1933	2085	2062	764	2267	2062	2009	2342	772	607		
Lrrc46	10	8	6	7	9	9	7	7	8	7	7	15	5	7		
Tmigd3	1	1	0	0	1	2	1	0	1	1	2	1	1	0		
Dpep2	0	0	0	1	0	0	4	0	2	4	0	2	0	1		
Slc25a51	93	2417	87	118	1842	2157	1805	103	1887	1805	2089	1857	138	102		
Ubald2	8	1	0	9	0	0	0	3	0	0	1	1	2	6		
6720489N17Rik	2	97	3	0	73	76	68	0	57	68	50	75	0	0		
Zfp703	152	373	135	196	265	287	318	190	298	318	375	279	199	145		
Slc35g2	157	459	157	206	414	371	356	193	501	356	362	444	202	167		
Clasp2	1189	12885	1283	1588	10942	11639	9527	1259	12638	9527	11221	12367	1697	996		
Pak6	82	1921	110	117	1627	1752	1369	89	1556	1369	1581	1746	132	82		
Smim19	89	379	74	79	285	350	309	84	310	309	290	269	90	73		
Heph	38	151	23	59	107	128	136	35	111	136	92	143	40	24		
Rhox2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cd209b	1	1	2	1	5	1	1	0	2	1	1	0	0	1		
Prame	1	0	0	0	0	0	1	0	1	1	0	0	0	0		
Mgam	0	0	0	0	1	0	1	4	0	1	0	3	1	0		
Sh3d19	42	513	68	77	465	547	377	43	547	377	512	552	101	44		
Dab2	66	238	74	115	232	209	163	64	251	163	225	257	96	81		
Arhgap44	332	3247	330	475	2918	3200	2617	366	2988	2617	2932	3086	444	346		
Ppp1r32	3	13	3	5	12	8	3	2	13	3	13	11	10	9		
Tead3	10	16	6	5	18	10	11	5	10	11	22	19	8	7		
Ctps2	131	737	110	151	527	540	481	114	642	481	640	616	146	129		
Gps1	33	1221	21	50	1065	1300	1012	62	1024	1012	1155	1078	45	51		
Cdh16	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Shmt2	105	250	138	187	219	253	170	125	206	170	233	227	187	105		
Ncor1	466	6709	585	846	4877	5320	4812	533	5636	4812	5685	5545	811	476		
Dhrs3	60	311	48	84	235	309	181	71	234	181	279	289	75	53		
Rs1	0	30	0	0	17	20	21	0	22	21	34	19	0	0		
Rps7	4	1613	3	4	1875	2363	1485	11	1849	1485	1485	2024	3	3		
Klk5	0	0	0	1	0	0	0	0	0	0	0	0	2	0		
Gm21828	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mpig6b	0	2	0	1	0	0	0	0	0	0	0	1	0	0		
Cep131	111	299	86	150	196	216	237	114	269	237	272	225	136	81		
Masp1	77	218	85	103	231	238	173	89	212	173	208	255	93	79		
Ascl1	17	116	20	19	102	106	92	12	92	92	105	102	21	13		
Mas1	38	330	36	51	291	357	221	36	307	221	256	304	45	26		
Mapkapk2	100	619	78	125	487	581	446	77	527	446	556	510	115	84		
Ppp2r5c	381	5244	346	422	4217	4968	3970	371	4288	3970	4549	4309	426	331		
Gm3448	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tbc1d21	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr125	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr113	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr122	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Commd4	224	457	164	273	288	337	265	229	258	265	426	260	241	201		
Them5	0	0	0	0	1	0	0	0	0	0	0	1	0	0		
Utp23	23	142	32	42	146	118	157	28	174	157	127	192	41	31		
Ppcs	8	76	8	13	61	70	72	19	83	72	61	101	17	12		
Mrpl19	162	598	153	172	481	522	502	187	497	502	532	583	189	153		
Hormad1	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
Tctn2	86	400	82	101	242	374	228	53	257	228	353	252	91	61		
Tppp3	174	485	135	207	452	514	368	210	536	368	417	492	209	149		
Ooep	1	2	3	0	3	2	2	1	6	2	2	0	3	3		
U2surp	390	2804	379	543	2357	2296	2288	402	2838	2288	2449	2651	506	365		
Foxi1	0	2	0	0	2	4	1	0	4	1	1	1	0	0		
Plekhj1	119	352	95	99	266	263	286	135	274	286	293	284	106	120		
Cux1	285	3694	285	386	2652	3261	2729	309	2938	2729	3324	2989	440	298		
Gm45927	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mpv17	159	825	193	200	741	883	648	149	701	648	794	721	215	136		
Ankrd23	0	38	0	1	35	29	16	0	44	16	36	27	0	0		
Hsf3	0	3	0	0	1	2	4	0	2	4	2	3	0	0		
Radil	68	190	59	78	102	109	106	77	129	106	152	115	89	60		
Nanog	0	3	0	0	0	2	0	1	1	0	2	1	0	0		
Nit1	144	345	122	158	302	324	261	153	277	261	326	299	169	152		
Rnf25	179	409	158	248	358	448	290	181	388	290	397	417	230	146		
Tmem33	581	4139	472	615	3277	3100	3581	595	3951	3581	3499	3503	646	531		
